DATA DA VISTORIA,EMPRESA,EQUIPAMENTO,MODELO,PLACA,DATA RETORNO,SITUAÇÃO,STATUS,OBSERVACOES
2026-04-17,ALMA LOGISTICA,PICAPE ESTRADA,PICAPE ESTRADA,TXP1128,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-04-17,CDR TRANSPORTADORA,HILUX,HILUX,OGS2B00,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-04-17,CDR TRANSPORTADORA,HILUX,HILUX,OOU8F85,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-04-17,CDR TRANSPORTADORA,SAVEIRO,SAVEIRO,QQE7D15,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-04-17,CDR TRANSPORTADORA,SAVEIRO,SAVEIRO,PRY8E89,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-05-04,SOTREQ,PA CARREGADEIRA ,PA CARREGADEIRA ,00938VITW500676*,2026-08-02,APROVADO,✅ NO PRAZO,-
2026-05-04,CARPANEZI &SILVA LTDA,CAMINHÃO,CAMINHÃO ,GER6G61,2026-08-02,REPROVADO,❌ PENDENTE,-
2026-05-04,,CA MINHÃO,CAMINHÃO,CUK1F62,2026-08-02,APROVADO,✅ NO PRAZO,-
2026-05-14,ALEXANDRE ,CAMINHÃO ,F.4000,ENH8417,2026-08-12,APROVADO,✅ NO PRAZO,-
2026-05-14,PGS TRANSPORTE ,CAMINHÃO ,CAMINHÃO,QUD3I67,2026-08-12,APROVADO,✅ NO PRAZO,-
2026-05-14,,CAMINHÃO,CAMINHÃO ,PUN0J81,2026-08-12,REPROVADO,❌ PENDENTE,-
2026-05-04,SOTREQ ,PA CARREGADEIRA ,PA CARREGADEIRA ,00938L5W500678*,2026-08-02,APROVADO,✅ NO PRAZO,-
2026-05-15,PGS TRANSPORTE ,CAMINHÃO ,CAMINHÃO ,QUD3I49,2026-08-13,REPROVADO,❌ PENDENTE,-
2026-05-15,PGS TRANSPORTE ,CAMINHÃO ,CANAVIEIRO ,73002,2026-08-13,APROVADO,✅ NO PRAZO,-
2026-05-15,PGS TRANSPORTE ,CAMINHÃO ,CAMINHÃO ,72984,2026-08-13,REPROVADO,❌ PENDENTE,-
2026-05-05,SERRA AZUL,ONIBUS ,ONIBUS ,FTA9F37,2026-08-03,APROVADO,✅ NO PRAZO,-
2026-05-05,CDR TRANSPORTADORA,TOYOTA ,W9,JWD7J58,2026-08-03,APROVADO,✅ NO PRAZO,-
2026-05-05,FACIONALI TRANSPORTE ,CAMINHÃO ,CAMINHÃO ,CLJ0278,2026-08-03,APROVADO,✅ NO PRAZO,-
2026-05-06,,CAMINHÃO,CAMINHÃO,GFO9E43,2026-08-04,APROVADO,✅ NO PRAZO,-
2026-05-06,SERRA AZUL,ONIBUS ,MICRO ONIBUS,GBW1I17,2026-08-04,APROVADO,✅ NO PRAZO,-
2026-05-11,EMPERIWI TRANS,CAMINHÃO ,CAMINHÃO ,CFB4G16,2026-08-09,APROVADO,✅ NO PRAZO,-
,DJR CONSTRUTORA ,CAMINHÃO ,MICRO ONIBUS,EDN4I31,,APROVADO,❌ PENDENTE,-
2026-05-13,M.A FACCIOLI LTDA,CAMINHÃO ,CAMINHÃO ,72980,2026-08-11,APROVADO,✅ NO PRAZO,-
2026-04-03,SEJHS,CAMINHÃO ,CAMINHÃO ,PPW5A82,2026-07-02,APROVADO,✅ NO PRAZO,-
2026-04-27,SERRA AZUL,ONIBUS ,ONIBUS ,FCL9E41,2026-07-26,APROVADO,✅ NO PRAZO,-
2026-04-20,,CAMINHÃO ,CAMINHÃO ,502216,2026-07-19,REPROVADO,❌ PENDENTE,-
2026-04-20,,CAMINHÃO ,COMBOIO,CO3009,2026-07-19,APROVADO,✅ NO PRAZO,-
2026-04-18,,CAMINHÃO ,CAMINHÃO ,HRL7038,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-18,TRUANGULO LOGISTICA LTDA,CAMINHÃO ,CAMINHÃO ,SMH7D68,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-27,SERRA AZUL,ONIBUS ,ONIBUS ,FTA2F37,2026-07-26,REPROVADO,❌ PENDENTE,-
2026-04-17,,CAMINHÃO ,CAMINHÃO ,GHD5A57,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-04-17,,CAMINHÃO ,CAMINHÃO ,AGUARDANDO,2026-07-16,APROVADO,✅ NO PRAZO,-
2026-04-23,SERRA AZUL,ONIBUS ,ONIBUS ,TJH5G91 ,2026-07-22,APROVADO,✅ NO PRAZO,-
2026-04-18,,CAMINHÃO,CAMINHÃO,BXC9F83,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-18,SEALS TRANSPORTES LTDA,CAMINHÃO ,CAMINHÃO ,72328,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-18,TRIANGULO LOGISTICA LTDA,CAMIHÃO ,CAMINHÃO,SMH2C45,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-18,TRIANGULO LOGISTICA LTDA,CAMIHÃO ,CAMINHÃO,72322,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-18,,CAMINHÃO ,CAMINHAO,SWH1J84,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-18,,CAMINHÃO ,CAMINHÃO ,DPF4114,2026-07-17,APROVADO,✅ NO PRAZO,-
2026-04-17,,CAMINHÃO,CAMINHÃO,DEX8935,2026-07-16,APROVADO,✅ NO PRAZO,-
